asin	val	productGroup	brand
B0018QPSDY	249	Speakers	Polk Audio
B00192KF12	129.04	Speakers	Polk Audio
B00193U3O0	3.06333333333333	Speakers	Datacomm Electronics
B00198BY48	43.746	Speakers	beyerdynamic
B0019DKOVW	127.53	Speakers	Kicker
B001ADXR3I	32.19	Speakers	Sylvania
B001AVRD62	148.95	Speakers	Yamaha Audio
B001BGGD8A	75.5583333333333	Speakers	Sangean
B001C3K7I4	172.896666666667	Car Audio or Theater	Seotic
B001CROHU4	499	Speakers	Sonos
B001CROHX6	349	Speakers	Sonos
B001DFTGUQ	21.89	Speakers	Winegard
B001DJ64D4	249.99	Speakers	Jaybird
B001DL71GG	49.99	Speakers	Sylvania
B001E6ZQ08	59.65	Speakers	Hello Kitty
B001E75I6E	23.74	Speakers	XO Vision
B001EUG3II	49.99	Speakers	Kaito
B001EZUQ5E	21.79	Speakers	Sennheiser
B001F6CDYY	686.86	Speakers	Russound
B001FA1O1S	399	Speakers	Apple
B001FVTX1U	82.1	Speakers	ION Audio
B001FY0B90	29.5	Speakers	Channel Master
B001GS8FZW	23.05	Speakers	JLAB
B001GS8G0G	23.79	Speakers	JLAB
B001GS8G1A	22.99	Speakers	JLAB
B001GS8G1K	22.92	Speakers	JLAB
B001GS8G1U	26.67	Speakers	JLAB
B001GXQOUU	249.33	Speakers	JBL
B001HBH1B2	384.85	Speakers	Buttkicker
B001NGPAN2	29.06	Speakers	Curtis
B001OS8YMI	27.935	Speakers	Pyle
B001P8231A	27.01	Speakers	Bell'O Digital
B001PUQ7PG	62.69	Speakers	Digital Group Audio
B001PZ674C	199.99	Speakers	Yamaha Audio
B001QTXKCE	27.89	Speakers	Eton
B001QTXKFG	26.57	Speakers	Eton
B001RCD2DW	290.31	Speakers	AKG Pro Audio
B001SAWABI	83.98	Speakers	OSD Audio
B001SKXWKG	64.58	Speakers	it.innovative technology
B001TK9SEE	30.5	Speakers	Monoprice
B001U9SEUS	34.04	Speakers	Memorex
B001UEBN42	20.38	Speakers	X-mini
B001UP0C8O	46.06	Speakers	Digicom
B001VEIYAC	124.83	Speakers	Magellan
B001XURGSK	255.95	Speakers	WOCKODER
B0020HRHL6	39.7	Speakers	Coby
B0028N78C0	67.48	Speakers	AKG
B0029HI75C	10.79	Speakers	Audiovox
B002ACNZFI	29.95	Speakers	H2O Audio
B002AQ30T0	78.49	Speakers	Acoustic Research
B002C3OK3Q	56.99	Speakers	Theater Solutions
B002C3VCLE	56.26	Speakers	Theater Solutions
B002C775W0	59.96	Speakers	Theater Solutions
B002CX0QLQ	25.71	Speakers	Midland
B002DUE8TO	49.81	Speakers	Dual Electronics
B002E08O9I	50.23	Speakers	RCA
B002EOSQII	135	Speakers	Garmin
B002GQPT52	15	Speakers	JVC
B002HEFX90	112.875	Speakers	Boston Acoustics
B002HR8HV8	39.99	Speakers	Memorex
B002IPHA1W	99.48	Speakers	Sony
B002IPHA3U	122.17	Speakers	Sony
B002ISTP8K	93.92	Speakers	BIC America
B002JCSG2Q	101.81	Speakers	Yamaha Audio
B002JPITYS	62.22	Speakers	GLOUE
B002JTG0PO	66.95	Speakers	Polk Audio
B002KE87J0	72.89	Speakers	Chief
B002KY2OU8	539	Speakers	Bose
B002M78L6E	65.32	Speakers	Philips
B002MAPSC6	34.99	Speakers	SanDisk
B002MVRCSI	52.02	Speakers	Lava Electronics
B002MXXFHI	122.17	Speakers	Sony
B002MZW5KE	259.94	Speakers	APC
B002ONSRA6	60	Speakers	Pioneer
B002PK1COG	49.89	Speakers	X-mini
B002PMKG1Y	149.05	Speakers	Sangean
B002RCNX8K	114.44	Speakers	APC
B002SOU2Y0	124.95	Speakers	Sennheiser
B002TLT10I	179	Speakers	Sennheiser
B002UL0XH2	89.89	Speakers	Pyle
B002UL0XIQ	258	Speakers	Pyle
B002YPS6T6	39.09	Speakers	Micca
B002YT8A2A	34.03	Speakers	Alert Works
B0031QNP8O	286.88	Speakers	Delorme
B0033WSDYC	320.28	Speakers	Sangean
B0035JKJ2W	47.65	Speakers	Sennheiser
B0035VW53G	917.46	Speakers	JL Audio
B00375MWE2	117.915	Speakers	Sennheiser
B00378KMF0	94.95	Speakers	Polk Audio
B00381EP54	549.99	Speakers	Definitive Technology
B0038C5FWA	179.95	Speakers	Sherwood
B00395ZQMK	163.35	Speakers	Grace Digital
B0039UUPH6	478.26	Speakers	Harman Kardon
B003AIL2HE	9.99	Speakers	JVC
B003C2QS90	4.43	Speakers	INSTEN
B003CJTR8C	9.99	Speakers	Philips
B003CJTR8M	17.8875	Speakers	Philips
B003CP0KCS	19.99	Speakers	Yamaha Audio
B003DZ9Z78	40.85	Speakers	Sony
B003HIVUE2	47.96	Speakers	Memorex
B003L13B6U	27.34	Speakers	Monoprice
B003LPTAYI	16.98	Speakers	Sennheiser
B003OAKADA	178.27	Speakers	Russound
B003OFADNC	99.99	Speakers	Theater Solutions
B003P2UMQ2	40.33	Speakers	Belkin
B003S3RFIQ	53.565	Speakers	Etymotic Research
B003VAMT28	99.99	Speakers	Crosley
B003VIWK0G	299.99	Speakers	Klipsch
B003WKB810	1095.475	Speakers	Bose
B003XDE8TK	129.95	Speakers	Vanguard
B003XQNWL2	88.12	Speakers	Sangean
B003Y3BFB8	87.43	Speakers	JBL
B003YKG2UK	108.45	Speakers	Ultimate Ears
B003YKG2XW	50.41	Speakers	Logitech
B003YNRWQA	27.46	Speakers	Belkin
B003ZL916U	119.95	Speakers	Sennheiser
B003ZLARRW	108.03	Speakers	Sennheiser
B003ZLCAW2	77.505	Speakers	Sennheiser
B003ZPQ9LQ	104.16	Speakers	Theater Solutions
B003ZUXX4W	251.99	Speakers	Philips
B00422L3EY	249	Speakers	Definitive Technology
B00422L3FI	199	Speakers	Definitive Technology
B00422L3GW	249	Speakers	Definitive Technology
B0042A68R8	67.26	Speakers	Sennheiser
B0043L32KC	19.99	Speakers	Memorex
B0043M6668	74.7	Speakers	Polk Audio
B0043M666I	241.33	Speakers	Polk Audio
B0043M666S	259.99	Speakers	Polk Audio
B0043M667M	139.95	Speakers	Polk Audio
B0043M667W	433.93	Speakers	Polk Audio
B0044779G8	449.95	Speakers	Yamaha Audio
B0044T2Q9Q	136.15	Speakers	Philips
B0045DNX48	11	Speakers	Trademark
B0045EJY90	129.99	Speakers	Teac
B0046A8R3M	149.95	Speakers	Infinity
B0049P1MRM	390	Speakers	Harman Kardon
B004A91D94	24.22	Speakers	Veho
B004AKN53K	44.49	Speakers	Supersonic
B004AWE4D8	24.725	Speakers	Sharper Image
B004C04MHG	99.95	Speakers	Sony
B004C04Q18	249	Speakers	Boston Acoustics
B004C1VX7W	39.95	Speakers	Bose
B004DOX70O	69.99	Speakers	Sennheiser
B004EKO8VO	230.58	Speakers	Polk Audio
B004FEEY9A	111.1	Speakers	Sennheiser
B004FTFRCI	199	Speakers	Polk Audio
B004HD4L2E	42.8775	Speakers	Sennheiser
B004HJ35TS	159.09	Speakers	Pyle
B004I2LDBG	213.25	Speakers	Pure Resonance Audio
B004I8WH9M	49.13	Speakers	iHome
B004I8WH9W	64.555	Speakers	iHome
B004J35A04	31.44	Speakers	Visual Land
B004KCJJ4M	30.94	Speakers	Audio-Technica
B004KZLXB6	89.64	Speakers	RCA
B004L0JI94	138.19	Speakers	Panasonic
B004L9DGCK	193.73	Speakers	Polk Audio
B004L9GWSK	228.95	Speakers	Polk Audio
B004LGQWW4	49.96	Speakers	Naxa Electronics
B004LRPXAU	295	Speakers	MartinLogan
