0	0	2	3	9
0	0	0	1	10
1	0	6	8	16
1	0	0	1	1
0	0	0	0	1
1	1	1	19	16
0	0	0	0	1
1	0	0	6	4
0	0	1	0	0
1	2	1	3	12
2	0	4	11	20
0	0	1	0	1
1	0	1	3	4
1	0	2	8	11
2	2	2	10	13
3	1	1	9	9
2	0	6	10	24
0	1	3	2	11
2	2	3	12	47
4	6	5	16	43
2	4	2	11	32
2	1	8	10	26
0	0	0	10	32
3	1	4	6	11
2	0	4	14	20
10	6	11	31	37
13	8	16	32	45
10	9	17	27	20
4	2	2	13	14
0	0	1	8	17
0	0	0	2	4
1	0	2	1	15
0	0	1	1	22
4	2	1	14	25
6	0	6	4	9
2	2	3	1	4
1	0	0	3	6
0	0	0	2	4
0	0	0	1	2
0	0	0	1	2
2	0	1	1	3
0	1	2	5	13
3	0	1	0	4
2	0	2	1	15
2	0	3	11	18
0	1	0	3	5
3	4	0	1	2
0	0	0	0	5
0	1	0	3	4
0	0	1	0	1
2	0	0	1	2
4	1	1	3	6
2	0	0	1	0
1	0	0	9	27
4	1	3	15	98
0	0	1	0	0
0	0	0	0	1
0	0	0	0	1
2	0	0	0	0
3	4	3	5	2
1	0	0	1	2
0	0	1	4	20
0	0	0	0	1
8	0	1	5	20
0	0	0	0	1
0	0	0	0	1
0	0	0	0	2
5	1	4	8	6
1	0	2	8	6
0	0	0	0	1
0	0	0	0	1
2	0	2	6	4
0	1	1	1	8
0	0	0	2	3
1	0	1	1	2
0	0	0	1	1
0	0	0	8	19
1	0	2	5	8
0	0	3	0	1
0	0	3	4	15
0	0	1	0	1
0	0	0	2	5
0	0	0	4	2
1	0	0	0	6
0	0	0	1	8
0	0	0	2	2
0	1	0	0	1
0	0	0	2	8
0	0	0	0	1
0	1	0	0	8
0	0	0	3	11
0	0	0	1	2
0	0	0	3	6
0	0	0	1	4
0	0	0	2	5
0	0	0	3	5
0	0	0	1	3
0	0	2	1	9
0	0	0	1	2
0	0	1	1	1
0	0	0	4	5
0	0	0	1	1
0	0	0	1	0
0	0	1	3	5
0	0	0	0	2
0	0	0	0	3
0	0	2	4	1
0	0	0	2	0
0	0	0	0	4
0	0	2	6	16
0	0	0	0	1
8	0	6	23	61
1	1	0	0	0
0	1	0	0	8
1	0	1	0	2
1	2	0	1	1
1	0	0	0	1
0	0	2	2	2
0	0	0	0	1
6	1	1	12	33
0	0	2	4	7
0	2	1	8	27
0	0	2	1	3
1	0	1	0	2
0	0	1	5	9
0	0	0	12	20
1	1	1	4	13
1	0	0	0	0
1	0	0	0	0
1	1	0	2	2
0	0	0	3	12
0	1	0	2	6
0	1	0	5	7
1	0	1	10	9
0	0	1	1	1
1	1	0	1	1
2	0	1	0	2
0	0	0	3	2
2	1	0	0	0
2	1	0	2	5
4	0	0	1	2
0	0	0	0	1
1	0	1	0	3
0	0	0	0	1
0	0	0	1	0
1	0	0	2	1
0	0	1	0	2
0	0	1	0	1
0	1	0	0	1
0	0	0	0	1
1	1	0	0	0
0	0	0	0	2
0	0	1	0	0
1	1	0	3	4
0	0	0	0	2
0	0	0	0	1
0	0	0	1	1
1	0	0	0	2
0	0	0	1	2
0	0	0	1	0
0	0	0	0	1
0	0	1	1	3
1	0	0	0	0
0	0	0	1	1
0	0	0	1	3
1	0	0	1	0
0	0	1	0	0
0	0	0	1	0
0	0	1	2	2
0	0	0	2	1
3	0	9	15	32
7	2	4	10	9
0	0	0	0	1
0	1	0	1	0
1	0	1	1	1
7	3	9	44	98
0	0	1	2	3
1	0	0	0	0
5	2	3	22	31
8	2	5	9	28
3	1	1	1	8
37	10	14	68	119
0	0	1	5	39
0	0	0	1	3
5	0	5	16	45
3	3	3	6	56
6	2	0	5	1
0	1	0	0	0
4	3	2	5	20
1	0	0	2	4
0	0	0	0	2
0	0	0	0	1
2	1	3	15	16
1	1	2	4	9
0	1	2	2	9
0	1	5	10	10
3	2	4	8	5
6	2	2	20	28
1	3	3	2	4
1	0	2	5	2
1	0	1	0	0
4	2	2	4	6
1	2	3	0	3
6	2	5	39	70
5	1	5	24	54
10	9	14	39	66
0	0	2	2	10
0	0	1	2	2
2	0	4	28	122
46	9	23	53	65
27	15	16	31	34
5	4	7	60	129
8	3	9	49	136
12	2	4	32	84
8	5	9	14	5
12	5	11	24	28
11	1	22	37	33
3	3	5	29	65
27	8	20	53	50
4	3	3	14	17
0	1	0	0	1
1	0	3	9	40
1	0	0	0	1
1	0	3	17	77
0	0	0	3	0
0	0	0	8	28
1	0	0	1	0
2	2	2	3	3
0	0	0	1	1
4	1	2	7	30
0	0	0	0	1
0	1	1	12	8
0	0	0	1	0
2	2	0	0	4
0	0	0	0	1
4	0	0	0	1
12	1	1	6	25
1	0	0	0	0
4	7	4	18	51
0	0	0	1	0
0	0	1	4	4
0	0	0	0	2
0	0	0	1	1
11	5	10	35	33
0	0	2	2	19
2	2	4	4	3
0	0	0	0	3
0	0	1	0	0
1	0	0	0	0
0	0	0	0	2
0	0	1	0	0
0	0	0	0	2
0	0	0	0	1
0	0	0	1	0
2	0	0	2	17
0	0	1	0	0
0	2	0	0	3
1	0	0	0	0
0	0	0	0	1
0	0	0	1	7
1	1	1	0	3
0	0	0	0	1
4	0	2	4	14
3	0	0	0	1
1	0	0	0	0
5	3	0	9	17
2	0	3	10	21
0	0	1	0	3
0	0	1	2	5
1	0	0	0	0
0	0	0	0	2
1	1	0	1	1
2	1	0	4	20
6	0	2	28	99
1	1	3	5	10
0	1	0	2	10
0	0	0	0	1
0	0	0	0	2
1	0	0	0	0
4	1	7	34	66
5	1	14	41	129
7	2	5	18	23
7	4	3	4	4
18	7	7	16	10
2	1	1	12	23
3	5	3	19	36
4	5	5	6	16
1	0	0	0	7
5	0	2	4	5
0	0	2	1	5
0	0	1	4	2
1	1	0	5	6
4	0	1	3	4
2	0	2	1	5
0	0	0	2	2
3	0	1	5	7
1	0	0	1	3
7	3	2	5	8
1	0	0	1	10
2	0	0	0	0
12	7	4	50	199
0	0	0	1	0
0	0	0	1	0
0	0	0	1	0
0	0	0	0	1
0	0	0	1	0
15	4	6	27	147
1	0	0	0	1
0	2	4	21	19
1	0	0	1	2
0	0	0	1	0
0	0	1	5	9
1	0	0	0	0
0	0	0	1	1
2	0	2	2	15
0	0	0	0	2
2	1	8	23	112
0	0	1	0	0
0	0	0	0	1
3	0	0	4	24
0	0	1	1	4
41	12	30	134	264
1	0	0	4	11
0	0	0	0	4
0	0	0	1	1
3	0	0	0	0
0	0	1	0	2
0	0	0	0	1
0	0	0	0	1
0	0	0	0	1
1	0	2	6	24
2	3	3	11	28
0	0	0	0	1
0	0	0	0	1
5	2	3	5	14
1	0	0	0	1
0	0	0	2	6
0	1	0	0	3
0	0	0	0	1
0	0	0	3	3
0	0	0	1	0
0	0	0	2	5
0	2	0	11	30
0	1	0	1	0
0	0	1	0	1
0	0	0	0	2
0	0	0	0	1
3	1	4	14	16
0	0	0	0	1
0	0	0	5	3
1	2	0	14	38
0	0	0	1	0
0	0	0	2	4
0	0	0	0	1
1	0	0	0	2
3	3	4	22	41
0	0	0	0	1
0	0	0	0	1
0	0	0	0	1
2	0	0	1	4
1	0	0	0	3
1	0	1	1	0
0	0	1	0	15
0	0	0	1	11
0	1	0	2	3
0	0	0	0	1
1	0	2	3	4
1	0	0	3	11
5	5	7	12	14
4	3	5	22	15
8	2	5	19	11
3	4	7	18	12
11	7	17	26	16
9	2	3	18	16
6	1	6	11	10
8	1	5	17	11
2	3	4	20	7
5	1	6	13	25
2	3	2	18	36
1	0	2	21	57
6	2	4	24	26
2	0	2	7	8
5	2	3	4	10
7	4	2	11	10
7	2	2	10	11
9	3	2	9	12
0	0	0	1	2
2	3	3	14	27
6	2	6	9	14
3	1	5	8	18
5	2	5	9	15
4	0	1	2	5
9	3	4	7	10
3	1	3	10	13
6	1	4	4	9
2	2	1	7	11
3	2	5	9	10
6	1	5	10	6
10	2	8	60	188
8	8	13	67	363
10	4	8	54	287
28	16	32	193	538
47	16	41	137	291
91	33	51	93	128
66	29	28	40	51
16	7	27	202	597
10	3	15	122	446
0	1	0	6	25
27	16	21	46	71
32	7	8	23	27
4	1	7	53	117
11	11	12	80	194
7	1	5	13	56
10	4	7	56	257
13	8	7	50	208
73	32	74	92	107
24	7	20	41	77
21	10	21	99	158
18	5	14	94	146
32	18	31	29	59
16	13	27	71	93
24	11	21	97	151
15	11	21	47	88
6	4	17	82	291
8	14	25	34	74
8	8	13	106	223
1	4	2	40	133
2	4	4	33	140
1	2	2	42	188
12	8	13	43	70
18	11	26	65	180
2	2	4	10	62
3	0	4	20	79
1	0	3	4	41
20	15	31	118	223
8	8	6	31	101
7	5	5	38	99
4	3	10	45	157
1	4	5	24	37
1	0	3	18	48
7	3	2	34	142
0	2	1	24	94
0	1	8	23	127
31	16	20	62	110
11	7	19	48	114
11	2	10	35	126
9	7	6	59	132
7	1	4	30	54
3	4	9	34	88
11	3	5	40	105
7	2	8	38	126
10	6	18	92	169
3	6	19	87	209
5	4	4	38	117
29	11	17	58	173
46	20	26	104	195
16	6	14	94	275
1	1	4	38	178
22	12	15	46	37
6	4	2	8	23
12	3	6	26	36
1	1	3	22	75
3	1	7	15	33
4	3	13	33	54
2	2	4	21	92
1	1	1	10	31
3	0	2	3	12
3	0	1	7	3
17	6	7	17	16
1	2	1	0	4
2	4	5	5	16
16	10	17	24	46
0	0	0	0	1
0	0	0	1	0
15	10	13	65	115
4	4	7	14	20
10	4	7	30	168
2	1	2	14	153
8	5	21	38	93
9	3	5	7	30
16	5	10	17	32
4	0	3	14	88
4	1	1	21	119
3	1	1	6	44
2	1	1	4	48
0	0	0	3	5
0	0	1	3	9
1	0	0	0	1
5	1	5	21	29
1	0	0	0	7
10	6	12	24	76
16	5	6	14	35
8	1	1	3	5
2	1	4	22	44
3	0	3	23	89
5	0	4	2	3
0	2	3	8	45
4	1	0	2	3
1	1	1	3	6
15	1	1	16	22
4	2	0	6	21
29	3	8	19	37
15	4	8	28	58
4	0	3	21	77
1	2	2	18	48
4	2	6	9	27
3	3	3	6	11
6	0	2	12	23
1	2	2	9	17
1	0	1	1	6
4	0	2	3	3
1	1	3	7	9
4	2	1	1	2
9	3	3	14	13
10	3	2	3	4
1	1	1	3	11
0	0	0	2	5
5	6	7	25	58
0	4	2	17	41
2	2	8	36	68
2	2	1	15	32
8	3	5	21	34
0	0	0	2	20
3	2	3	15	51
0	0	0	14	52
0	1	0	0	1
1	0	1	3	6
2	1	0	7	6
0	0	0	0	1
3	3	3	6	10
0	1	0	3	23
0	0	1	0	0
25	9	15	61	173
2	0	0	2	0
0	0	0	1	2
5	2	2	8	30
0	0	0	0	1
1	0	4	3	13
5	0	0	1	0
5	1	4	7	31
8	3	5	22	64
0	1	0	0	0
0	0	0	0	2
0	0	0	0	1
1	0	0	0	1
3	1	1	4	3
1	0	0	0	1
0	0	3	1	1
0	0	1	3	13
2	0	1	4	29
1	0	0	6	21
0	0	0	0	1
0	0	0	0	1
2	2	2	4	11
6	2	2	2	3
0	0	0	0	6
2	1	1	12	66
0	0	1	0	0
0	0	0	0	1
0	0	0	1	0
4	3	1	3	2
0	0	0	0	1
0	1	0	0	0
0	0	2	12	43
0	0	0	1	0
0	0	0	0	1
1	1	1	3	10
0	0	0	3	3
0	1	1	1	2
0	0	3	6	8
0	0	1	1	1
0	0	0	1	0
27	6	16	57	141
0	0	1	0	0
0	0	0	1	1
1	0	0	0	0
0	0	0	2	0
2	1	1	3	2
0	0	1	0	0
0	0	0	2	0
12	4	4	60	125
0	0	0	2	0
5	0	2	5	4
0	0	0	0	1
0	0	0	0	1
3	1	1	7	9
7	2	6	4	12
0	0	2	2	2
0	0	0	1	1
0	0	0	2	1
0	0	0	0	1
1	2	1	8	13
0	1	1	1	4
0	0	2	3	5
0	0	0	0	1
2	0	0	2	12
5	1	3	17	66
3	2	4	23	93
2	0	0	0	5
1	0	0	1	4
1	0	0	0	0
0	0	0	1	2
0	0	0	0	1
0	0	1	0	0
0	0	1	7	12
1	0	0	3	5
0	0	1	2	12
0	0	0	0	1
0	0	0	1	0
0	0	0	0	3
0	0	0	0	1
1	0	4	1	12
1	0	1	2	4
0	0	0	0	2
1	0	1	0	0
3	0	3	5	1
0	0	0	0	4
5	2	1	12	22
0	0	0	1	0
0	0	0	1	0
0	0	0	0	3
0	0	0	0	1
0	0	0	1	0
0	0	0	1	3
0	0	0	0	1
3	0	3	6	27
0	0	0	0	3
0	0	0	0	2
0	0	0	1	1
2	0	0	1	0
0	0	0	1	0
2	0	0	0	0
0	0	1	0	0
5	1	1	2	6
1	0	0	1	0
0	0	3	2	20
0	0	0	0	3
2	1	7	14	33
1	1	0	3	4
1	0	0	0	2
1	1	1	4	3
0	0	0	0	2
0	0	1	0	0
0	0	1	0	0
0	0	0	0	1
0	0	0	1	2
1	0	0	0	1
0	0	0	1	5
0	0	0	0	1
0	0	0	1	3
0	1	1	4	21
0	0	0	0	1
0	0	0	0	1
0	0	0	1	2
3	0	1	3	48
0	0	0	1	0
0	0	0	0	1
0	0	0	0	1
6	3	5	15	46
0	0	0	1	5
1	0	0	1	1
0	0	0	1	4
0	0	0	2	0
0	0	0	0	1
0	0	0	1	0
0	0	0	0	4
1	0	0	0	0
0	0	0	2	4
2	0	0	0	5
2	0	0	0	0
1	0	0	0	0
1	0	0	0	0
0	0	0	2	0
0	0	0	0	1
1	0	0	0	4
0	1	0	0	0
0	0	1	0	2
1	0	2	3	7
7	1	2	13	58
0	0	0	1	2
0	0	0	0	1
0	0	1	1	0
0	0	0	2	1
6	1	4	4	5
0	0	0	1	0
5	1	0	8	15
0	0	0	1	2
0	0	0	0	1
1	0	1	0	1
0	0	0	0	18
0	0	2	0	0
0	1	0	5	5
0	0	0	3	2
0	0	0	4	7
0	0	0	1	0
0	0	0	0	1
1	0	0	0	2
1	0	0	0	2
0	0	0	0	1
1	0	1	2	5
0	0	0	0	3
0	1	0	7	11
2	0	0	1	10
1	0	2	5	3
1	0	0	11	16
0	0	0	0	1
0	0	0	1	5
1	0	0	0	0
1	0	0	0	5
0	0	1	2	1
0	0	0	0	1
0	0	0	0	2
0	0	0	1	0
1	0	0	1	3
0	0	0	0	2
3	0	3	4	5
3	1	2	14	87
1	0	0	0	0
6	4	3	0	4
0	0	0	2	0
0	0	0	0	2
0	0	0	0	2
0	0	0	0	3
0	0	1	0	0
25	10	9	4	6
0	0	0	0	2
0	0	0	0	1
0	0	0	2	1
0	0	0	1	1
18	6	17	41	55
22	8	18	34	43
1	0	2	3	2
